pair,rung,cell,ticks,certificate,separation,l1,mass_error,seconds,notes
extension-43,1fwl-blind,ladder,2,two-photon,2.627953e-09,3.941930e-09,1.11e-15,3.5,
extension-43,1fwl-blind,ladder,2,one-photon,0.000000e+00,0.000000e+00,0.00e+00,3.5,
extension-43,1fwl-blind,ladder,2,coherent,1.387779e-17,1.387779e-17,1.06e-02,3.5,1 - mass is the Poisson weight beyond two photons
extension-43,1fwl-blind,ladder,3,two-photon,2.867985e-05,1.170045e-04,5.55e-16,3.7,
extension-43,1fwl-blind,ladder,3,one-photon,3.551096e-05,7.102192e-05,0.00e+00,3.7,
extension-43,1fwl-blind,ladder,3,coherent,0.000000e+00,0.000000e+00,1.45e-02,3.7,1 - mass is the Poisson weight beyond two photons
extension-43,1fwl-blind,ladder,4,two-photon,1.903498e-04,6.319038e-04,1.11e-16,3.8,
extension-43,1fwl-blind,ladder,4,one-photon,1.841298e-04,3.682597e-04,0.00e+00,3.8,
extension-43,1fwl-blind,ladder,4,coherent,1.387779e-17,4.282599e-17,8.99e-03,3.8,1 - mass is the Poisson weight beyond two photons
classic-2c3-vs-c6,1fwl-blind,ladder,2,two-photon,6.298010e-07,9.447015e-07,6.66e-16,1.3,
classic-2c3-vs-c6,1fwl-blind,ladder,2,one-photon,0.000000e+00,0.000000e+00,0.00e+00,1.3,
classic-2c3-vs-c6,1fwl-blind,ladder,2,coherent,0.000000e+00,0.000000e+00,1.17e-02,1.3,1 - mass is the Poisson weight beyond two photons
classic-2c3-vs-c6,1fwl-blind,ladder,3,two-photon,4.533918e-04,1.923474e-03,6.66e-16,1.1,
classic-2c3-vs-c6,1fwl-blind,ladder,3,one-photon,6.027345e-04,1.205469e-03,0.00e+00,1.1,
classic-2c3-vs-c6,1fwl-blind,ladder,3,coherent,0.000000e+00,0.000000e+00,1.59e-02,1.1,1 - mass is the Poisson weight beyond two photons
classic-2c3-vs-c6,1fwl-blind,ladder,4,two-photon,1.135397e-03,3.858765e-03,2.44e-15,1.1,
classic-2c3-vs-c6,1fwl-blind,ladder,4,one-photon,1.153946e-03,2.307892e-03,0.00e+00,1.1,
classic-2c3-vs-c6,1fwl-blind,ladder,4,coherent,2.081668e-17,2.320193e-17,5.43e-03,1.1,1 - mass is the Poisson weight beyond two photons
